╧;мЮХЛЕМНБЮМХЕ;цНД;бНГПЮЯР ЙНЛОЮМХХ, КЕР;яРЮРСЯ;нПЦЮМХГЮЖХНММН-ОПЮБНБЮЪ ТНПЛЮ;тНПЛЮ ЯНАЯРБЕММНЯРХ;нАНПНРМШЕ ЮЙРХБШ, RUB;юЙРХБШ  БЯЕЦН, RUB;мЕПЮЯОПЕДЕКЕММЮЪ ОПХАШКЭ (МЕОНЙПШРШИ САШРНЙ), RUB;дНКЦНЯПНВМШЕ НАЪГЮРЕКЭЯРБЮ, RUB;йПЮРЙНЯПНВМШЕ НАЪГЮРЕКЭЯРБЮ, RUB;яНБНЙСОМШИ ДНКЦ, RUB;бШПСВЙЮ, RUB;йНЩТТХЖХЕМР НАНПЮВХБЮЕЛНЯРХ ЯНБНЙСОМШУ ЮЙРХБНБ, %;нАНПНРМШЕ ЮЙРХБШ МЮ ЕДХМХЖС ЮЙРХБНБ;юЙРХБШ  БЯЕЦН МЮ ЕДХМХЖС ЮЙРХБНБ;мЕПЮЯОПЕДЕКЕММЮЪ ОПХАШКЭ (МЕОНЙПШРШИ САШРНЙ) МЮ ЕДХМХЖС ЮЙРХБНБ;дНКЦНЯПНВМШЕ НАЪГЮРЕКЭЯРБЮ МЮ ЕДХМХЖС ЮЙРХБНБ;йПЮРЙНЯПНВМШЕ НАЪГЮРЕКЭЯРБЮ МЮ ЕДХМХЖС ЮЙРХБНБ;яНБНЙСОМШИ ДНКЦ МЮ ЕДХМХЖС ЮЙРХБНБ;бШПСВЙЮ МЮ ЕДХМХЖС ЮЙРХБНБ;цНЯ ЯНАЯРБЕММНЯРЭ;вЮЯРХВМЮЪ;вЮЯРМЮЪ;юн;цНЯ ЯНАЯРБЕММНЯРЭ;яЕКЭЯЙНЕ УНГБН;мЕЙНЛ;йННОЕПЮРХБШ;ннн
752;йнкунг хлемх йхпнбю, яой;20,00;22,50;0,00;2,00;0,00;150922000,00;208293000,00;121763000,00;17981000,00;28747000,00;46728000,00;170506000,00;0,81;0,72;1,00;0,58;0,09;0,14;0,22;0,82;0,00;0,00;1,00;0,00;0,00;1,00;0,00;0,00;0,00
753;йбйй, ннн;20,00;13,00;0,00;5,00;0,00;264197000,00;553029000,00;2618000,00;98553000,00;141681000,00;240234000,00;39354000,00;0,08;0,48;1,00;0,00;0,18;0,26;0,43;0,07;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
754;йбр, ннн;20,00;3,50;0,00;5,00;0,00;1501000,00;1646000,00;-3242000,00;4729000,00;59000,00;4788000,00;2400000,00;0,76;0,91;1,00;-1,97;2,87;0,04;2,91;1,46;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
755;йейя, ннн;20,00;3,00;0,00;5,00;0,00;14789000,00;14789000,00;993000,00;260000,00;13526000,00;13786000,00;20842000,00;1,38;1,00;1,00;0,07;0,02;0,91;0,93;1,41;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
756;йемрюбп, гюн;20,00;21,50;0,00;0,00;0,00;5998000,00;6073000,00;2231000,00;3000,00;1655000,00;1658000,00;33416000,00;5,88;0,99;1,00;0,37;0,00;0,27;0,27;5,50;0,00;0,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00
757;йхцхмяйюъ ьбеимюъ тюапхйю, ннн;20,00;7,50;0,00;5,00;0,00;9388000,00;10018000,00;-4194000,00;216000,00;13986000,00;14202000,00;14841000,00;2,19;0,94;1,00;-0,42;0,02;1,40;1,42;1,48;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
758;йхдя-ркр, ннн;20,00;6,00;0,00;5,00;0,00;449000,00;449000,00;-857000,00;1064000,00;232000,00;1296000,00;829000,00;1,44;1,00;1,00;-1,91;2,37;0,52;2,89;1,85;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
759;йхйбхдгемяйюъ яекэунгухлхъ, ннн;20,00;26,50;0,00;5,00;0,00;27515000,00;27649000,00;10886000,00;57000,00;13198000,00;13255000,00;15016000,00;0,54;1,00;1,00;0,39;0,00;0,48;0,48;0,54;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
760;йхмц-тпняр, ннн;20,00;10,00;0,00;5,00;0,00;139514000,00;150051000,00;14613000,00;54609000,00;80806000,00;135415000,00;467921000,00;3,44;0,93;1,00;0,10;0,36;0,54;0,90;3,12;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
761;йхмн, ннн;20,00;14,50;0,00;5,00;0,00;6387000,00;6387000,00;4799000,00;895000,00;683000,00;1578000,00;6955000,00;1,08;1,00;1,00;0,75;0,14;0,11;0,25;1,09;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
762;йхоепярнпе, ннн;20,00;3,50;0,00;5,00;0,00;84000,00;84000,00;-170000,00;150000,00;94000,00;244000,00;572000,00;7,29;1,00;1,00;-2,02;1,79;1,12;2,90;6,81;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
763;йхпхжйне яекэон;20,00;28,00;0,00;3,00;0,00;9412000,00;11881000,00;4759000,00;720000,00;3985000,00;4705000,00;33297000,00;2,80;0,79;1,00;0,40;0,06;0,34;0,40;2,80;0,00;0,00;1,00;0,00;0,00;0,00;1,00;0,00;0,00
764;йхпнбю, ннн;20,00;6,00;0,00;5,00;0,00;23092000,00;35973000,00;32458000,00;250000,00;871000,00;1121000,00;22547000,00;0,63;0,64;1,00;0,90;0,01;0,02;0,03;0,63;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
765;йхпнбокел, юн;20,00;27,00;0,00;0,00;2,00;135578000,00;209299000,00;167619000,00;1247000,00;8854000,00;10101000,00;108410000,00;0,54;0,65;1,00;0,80;0,01;0,04;0,05;0,52;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00
766;йхпнбяйне яекэон;20,00;27,00;0,00;3,00;0,00;1482000,00;1916000,00;169000,00;698000,00;893000,00;1591000,00;15588000,00;9,26;0,77;1,00;0,09;0,36;0,47;0,83;8,14;0,00;0,00;1,00;0,00;0,00;0,00;1,00;0,00;0,00
767;йхпохв-жемрп, ннн;20,00;17,50;0,00;5,00;0,00;27638000,00;62915000,00;58973000,00;3606000,00;326000,00;3932000,00;4287000,00;0,07;0,44;1,00;0,94;0,06;0,01;0,06;0,07;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
768;йхв-цнпндежйхи пюионрпеаянчг;20,00;28,00;0,00;3,00;0,00;15725000,00;29594000,00;1581000,00;3168000,00;21083000,00;24251000,00;88281000,00;2,90;0,53;1,00;0,05;0,11;0,71;0,82;2,98;0,00;0,00;1,00;0,00;0,00;0,00;1,00;0,00;0,00
769;йхъряйне, нюн;20,00;14,50;0,00;0,00;0,00;156841000,00;269270000,00;197964000,00;22539000,00;17985000,00;40524000,00;152117000,00;0,63;0,58;1,00;0,74;0,08;0,07;0,15;0,56;0,00;0,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00
770;ййой, ннн;20,00;0,50;0,00;5,00;0,00;6706000,00;7156000,00;44000,00;4475000,00;2628000,00;7103000,00;5990000,00;1,67;0,94;1,00;0,01;0,63;0,37;0,99;0,84;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
771;йкюм, ннн;20,00;27,00;0,00;5,00;0,00;19570000,00;20090000,00;18520000,00;820000,00;250000,00;1070000,00;6221000,00;0,30;0,97;1,00;0,92;0,04;0,01;0,05;0,31;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
772;йкюяя, ннн;20,00;23,50;0,00;5,00;0,00;27866000,00;29163000,00;27080000,00;31000,00;950000,00;981000,00;31714000,00;1,14;0,96;1,00;0,93;0,00;0,03;0,03;1,09;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
773;йкем, йпеярэъмяйне унгъиярбн;20,00;27,50;0,00;2,00;0,00;92760000,00;152838000,00;98260000,00;17819000,00;35297000,00;53116000,00;72130000,00;0,57;0,61;1,00;0,64;0,12;0,23;0,35;0,47;0,00;0,00;1,00;0,00;0,00;1,00;0,00;0,00;0,00
774;йкхлюрхвеяйхе яхярелш йюбйюгю, ннн;20,00;10,00;0,00;5,00;0,00;35635000,00;59154000,00;498000,00;15087000,00;43361000,00;58448000,00;85061000,00;1,89;0,60;1,00;0,01;0,26;0,73;0,99;1,44;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
775;йкхмяепбхя, ннн;20,00;15,50;0,00;5,00;0,00;21623000,00;21785000,00;6668000,00;6033000,00;9073000,00;15106000,00;25826000,00;1,04;0,99;1,00;0,31;0,28;0,42;0,69;1,19;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
776;йкса йнялерхйя, ннн;20,00;4,00;0,00;5,00;0,00;1493000,00;1704000,00;-1809000,00;3000000,00;503000,00;3503000,00;258000,00;0,14;0,88;1,00;-1,06;1,76;0,30;2,06;0,15;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
777;йл, ннн;20,00;4,50;0,00;5,00;0,00;16026000,00;16026000,00;381000,00;1493000,00;14152000,00;15645000,00;34947000,00;2,61;1,00;1,00;0,02;0,09;0,88;0,98;2,18;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
778;ймхцнвеи, ннн;20,00;16,00;0,00;5,00;0,00;354000,00;1605000,00;1433000,00;80000,00;82000,00;162000,00;1414000,00;0,87;0,22;1,00;0,89;0,05;0,05;0,10;0,88;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
779;ймхфмюъ щйяоедхжхъ, тцсо;20,00;28,50;0,00;1,00;1,00;36076000,00;36438000,00;11501000,00;32000,00;9146000,00;9178000,00;61315000,00;1,09;0,99;1,00;0,32;0,00;0,25;0,25;1,68;1,00;2,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00
780;ймъфхи дбнп, ннн;20,00;6,00;0,00;5,00;0,00;2551000,00;4398000,00;-736000,00;366000,00;4758000,00;5124000,00;287000,00;0,07;0,58;1,00;-0,17;0,08;1,08;1,17;0,07;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
781;йнакнб о. б., ннн;20,00;26,50;0,00;5,00;0,00;40920000,00;87243000,00;80063000,00;6845000,00;223000,00;7068000,00;58415000,00;0,75;0,47;1,00;0,92;0,08;0,00;0,08;0,67;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
782;йнкунг хл. кемхмю сбхмяйнцн пюинмю, яой;20,00;28,00;0,00;2,00;0,00;131537000,00;288552000,00;37319000,00;30651000,00;21021000,00;51672000,00;180079000,00;0,67;0,46;1,00;0,13;0,11;0,07;0,18;0,62;0,00;0,00;1,00;0,00;0,00;1,00;0,00;0,00;0,00
783;йнбшкз, ннн;20,00;18,00;0,00;5,00;0,00;1196000,00;2207000,00;710000,00;284000,00;1113000,00;1397000,00;1382000,00;0,63;0,54;1,00;0,32;0,13;0,50;0,63;0,63;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
784;йнбшкэмши, ннн;20,00;10,50;0,00;5,00;0,00;1490000,00;11380000,00;2869000,00;2500000,00;5911000,00;8411000,00;5048000,00;0,42;0,13;1,00;0,25;0,22;0,52;0,74;0,44;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
785;йнкеямхй х йн, ннн;20,00;2,00;0,00;5,00;0,00;502000,00;531000,00;-409000,00;324000,00;606000,00;930000,00;443000,00;0,68;0,95;1,00;-0,77;0,61;1,14;1,75;0,83;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
786;йнкеямхйнб, ннн;20,00;11,50;0,00;5,00;0,00;246335000,00;694554000,00;550638000,00;78504000,00;65402000,00;143906000,00;355231000,00;0,55;0,35;1,00;0,79;0,11;0,09;0,21;0,51;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
787;йнкнлемяйхе яелемю, ннн яуо;20,00;13,50;0,00;5,00;0,00;27284000,00;31113000,00;-4068000,00;8866000,00;26265000,00;35131000,00;14013000,00;0,53;0,88;1,00;-0,13;0,28;0,84;1,13;0,45;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
788;йнкнлхижебяйне, ннн;20,00;16,50;0,00;5,00;0,00;139220000,00;271630000,00;43525000,00;146930000,00;81165000,00;228095000,00;260344000,00;0,93;0,51;1,00;0,16;0,54;0,30;0,84;0,96;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
789;йнкня, ннн;20,00;18,00;0,00;5,00;0,00;23114000,00;57829000,00;45791000,00;11898000,00;130000,00;12028000,00;28239000,00;0,56;0,40;1,00;0,79;0,21;0,00;0,21;0,49;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
790;йнкня, ннн;20,00;10,00;0,00;5,00;0,00;13506000,00;50036000,00;28448000,00;9908000,00;11670000,00;21578000,00;21055000,00;0,42;0,27;1,00;0,57;0,20;0,23;0,43;0,42;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
791;йнкня, ннн;20,00;4,00;0,00;5,00;0,00;38581000,00;71422000,00;27676000,00;31739000,00;11007000,00;42746000,00;60183000,00;1,13;0,54;1,00;0,39;0,44;0,15;0,60;0,84;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
792;йнкня, ннн яо;20,00;13,00;0,00;5,00;0,00;33103000,00;66200000,00;47309000,00;77000,00;4761000,00;4838000,00;48510000,00;0,81;0,50;1,00;0,71;0,00;0,07;0,07;0,73;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
793;йнкня, яяной;20,00;6,00;0,00;2,00;0,00;12174000,00;80559000,00;3000,00;3000000,00;2918000,00;5918000,00;9722000,00;0,12;0,15;1,00;0,00;0,04;0,04;0,07;0,12;0,00;0,00;1,00;0,00;0,00;1,00;0,00;0,00;0,00
794;йнкня-2, йту;20,00;29,00;0,00;2,00;0,00;11782000,00;30996000,00;27749000,00;2000000,00;11000,00;2011000,00;23350000,00;0,92;0,38;1,00;0,90;0,06;0,00;0,06;0,75;0,00;0,00;1,00;0,00;0,00;1,00;0,00;0,00;0,00
795;йнкня-2, ннн;20,00;23,50;0,00;5,00;0,00;73590000,00;104121000,00;98032000,00;3700000,00;1558000,00;5258000,00;45380000,00;0,45;0,71;1,00;0,94;0,04;0,01;0,05;0,44;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
796;йнксьйхмяйне, юн;20,00;28,50;0,00;0,00;0,00;332985000,00;628362000,00;554485000,00;16116000,00;40204000,00;56320000,00;368019000,00;0,62;0,53;1,00;0,88;0,03;0,06;0,09;0,59;0,00;0,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00
797;йнкунг гепмнбни, яой;20,00;23,50;0,00;2,00;0,00;41683000,00;86975000,00;77876000,00;6400000,00;2130000,00;8530000,00;71873000,00;1,08;0,48;1,00;0,90;0,07;0,02;0,10;0,83;0,00;0,00;1,00;0,00;0,00;1,00;0,00;0,00;0,00
798;йнкунг хл.кемхмю, ннн;20,00;28,50;0,00;5,00;0,00;356821000,00;1199079000,00;630159000,00;34521000,00;96019000,00;130540000,00;487877000,00;0,43;0,30;1,00;0,53;0,03;0,08;0,11;0,41;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
799;йнкунг хл.кемхмю, яой;20,00;28,00;0,00;2,00;0,00;15013000,00;47152000,00;33100000,00;1267000,00;2663000,00;3930000,00;17681000,00;0,37;0,32;1,00;0,70;0,03;0,06;0,08;0,37;0,00;0,00;1,00;0,00;0,00;1,00;0,00;0,00;0,00
800;йнкунг хл.вюоюебю, ннн;20,00;28,00;0,00;5,00;0,00;50883000,00;136274000,00;61277000,00;30333000,00;31930000,00;62263000,00;61416000,00;0,51;0,37;1,00;0,45;0,22;0,23;0,46;0,45;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
801;йнкунг пнярнбюмнбяйхи, яой;20,00;24,00;0,00;2,00;0,00;308474000,00;593935000,00;543207000,00;2130000,00;9977000,00;12107000,00;192011000,00;0,33;0,52;1,00;0,91;0,00;0,02;0,02;0,32;0,00;0,00;1,00;0,00;0,00;1,00;0,00;0,00;0,00
802;йнкунг рнлхвебяйхи, ннн;20,00;18,50;0,00;5,00;0,00;89847000,00;175582000,00;120480000,00;23224000,00;28003000,00;51227000,00;71865000,00;0,40;0,51;1,00;0,69;0,13;0,16;0,29;0,41;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
803;йнкшлю пшаю, ннн;20,00;2,50;0,00;5,00;0,00;1914000,00;3080000,00;85000,00;2884000,00;101000,00;2985000,00;90000,00;0,03;0,62;1,00;0,03;0,94;0,03;0,97;0,03;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
804;йнлаюрьно.пс, ннн;20,00;6,50;0,00;5,00;0,00;247000,00;296000,00;259000,00;10000,00;17000,00;27000,00;103000,00;0,31;0,83;1,00;0,88;0,03;0,06;0,09;0,35;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
805;йнлахбсд, ннн;20,00;2,50;0,00;5,00;0,00;72000,00;72000,00;37000,00;9000,00;16000,00;25000,00;800000,00;19,51;1,00;1,00;0,51;0,13;0,22;0,35;11,11;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
806;йнлахйнпл, ннн;20,00;12,50;0,00;5,00;0,00;2623000,00;2623000,00;393000,00;1000000,00;1220000,00;2220000,00;12929000,00;4,92;1,00;1,00;0,15;0,38;0,47;0,85;4,93;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
807;йнлхмрепм, яуой;20,00;28,00;0,00;2,00;0,00;152084000,00;543661000,00;389511000,00;117688000,00;7524000,00;125212000,00;182030000,00;0,38;0,28;1,00;0,72;0,22;0,01;0,23;0,33;0,00;0,00;1,00;0,00;0,00;1,00;0,00;0,00;0,00
808;йнлхяяхнммши люцюгхм опенапюфемйю, ннн;20,00;28,50;0,00;5,00;0,00;1578000,00;60193000,00;13034000,00;18760000,00;28389000,00;47149000,00;15321000,00;0,22;0,03;1,00;0,22;0,31;0,47;0,78;0,25;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
809;йнлоюм+, ннн;20,00;9,00;0,00;5,00;0,00;1709000,00;1709000,00;146000,00;810000,00;741000,00;1551000,00;5916000,00;3,49;1,00;1,00;0,09;0,47;0,43;0,91;3,46;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
810;йнлоюмхъ юбхюрейя, ннн;20,00;10,00;0,00;5,00;0,00;57599000,00;57924000,00;9726000,00;3505000,00;44679000,00;48184000,00;51724000,00;0,66;0,99;1,00;0,17;0,06;0,77;0,83;0,89;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
811;йнлоюмхъ аеяр йнте, ннн;20,00;4,00;0,00;5,00;0,00;1933000,00;1933000,00;209000,00;1285000,00;429000,00;1714000,00;5357000,00;2,88;1,00;1,00;0,11;0,66;0,22;0,89;2,77;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
812;йнлоюмхъ акюцн, ннн;20,00;12,00;0,00;5,00;0,00;6961479000,00;7616866000,00;339559000,00;3507544000,00;3269763000,00;6777307000,00;12658800000,00;1,95;0,91;1,00;0,04;0,46;0,43;0,89;1,66;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
813;йнлоюмхъ оюпрмеп, ннн;20,00;7,00;0,00;5,00;0,00;7137000,00;7143000,00;5910000,00;127000,00;1096000,00;1223000,00;31512000,00;5,96;1,00;1,00;0,83;0,02;0,15;0,17;4,41;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
814;йнлоюмхъ щяйхлня, ннн;20,00;24,00;0,00;5,00;0,00;440007000,00;497225000,00;116352000,00;112238000,00;268625000,00;380863000,00;693696000,00;1,37;0,88;1,00;0,23;0,23;0,54;0,77;1,40;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
815;йнлоюмхъ-юцпн, ннн;20,00;14,00;0,00;5,00;0,00;18950000,00;39092000,00;-808000,00;32710000,00;3790000,00;36500000,00;10348000,00;0,27;0,48;1,00;-0,02;0,84;0,10;0,93;0,26;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
816;йнлянлнкэяйхи, ннн юцпнтхплю;20,00;10,50;0,00;5,00;0,00;43525000,00;116498000,00;92516000,00;23925000,00;47000,00;23972000,00;79152000,00;0,66;0,37;1,00;0,79;0,21;0,00;0,21;0,68;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
817;йнлтнпрдейн, ннн;20,00;5,00;0,00;5,00;0,00;589000,00;589000,00;172000,00;112000,00;296000,00;408000,00;1361000,00;2,49;1,00;1,00;0,29;0,19;0,50;0,69;2,31;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
818;йнмдхрепукеаопнл, ннн;20,00;14,00;0,00;5,00;0,00;64930000,00;64930000,00;1126000,00;16000,00;63788000,00;63804000,00;16753000,00;0,30;1,00;1,00;0,02;0,00;0,98;0,98;0,26;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
819;йнммейрхйся, ннн;20,00;7,00;0,00;5,00;0,00;5378000,00;5378000,00;5316000,00;2000,00;50000,00;52000,00;839000,00;0,17;1,00;1,00;0,99;0,00;0,01;0,01;0,16;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
820;йнммши гюбнд ценпцемаспц, ннн;20,00;25,00;0,00;5,00;0,00;46338000,00;730320000,00;-121864000,00;850892000,00;1183000,00;852075000,00;7185000,00;0,01;0,06;1,00;-0,17;1,17;0,00;1,17;0,01;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
821;йнмнпебн, йту;20,00;28,50;0,00;2,00;0,00;64287000,00;90152000,00;82302000,00;3685000,00;3516000,00;7201000,00;44918000,00;0,56;0,71;1,00;0,91;0,04;0,04;0,08;0,50;0,00;0,00;1,00;0,00;0,00;1,00;0,00;0,00;0,00
822;йнмяюп, юн;20,00;9,00;0,00;0,00;0,00;519309000,00;1184305000,00;35901000,00;315000,00;1085650000,00;1085965000,00;541761000,00;0,45;0,44;1,00;0,03;0,00;0,92;0,92;0,46;0,00;0,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00
823;йнмрх, ннн;20,00;17,50;0,00;5,00;0,00;2948000,00;3059000,00;1852000,00;946000,00;250000,00;1196000,00;4813000,00;2,43;0,96;1,00;0,61;0,31;0,08;0,39;1,57;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
824;йнмрхмемр, ннн;20,00;4,50;0,00;5,00;0,00;57052000,00;57216000,00;2030000,00;184000,00;54992000,00;55176000,00;60191000,00;1,00;1,00;1,00;0,04;0,00;0,96;0,96;1,05;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
825;йнмрпюйр яхярелю, ннн;20,00;6,00;0,00;5,00;0,00;20280000,00;22662000,00;10667000,00;2365000,00;9620000,00;11985000,00;113711000,00;5,44;0,89;1,00;0,47;0,10;0,42;0,53;5,02;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
826;йнмэъвмши гюбнд релпчй, ннн;20,00;18,00;0,00;5,00;0,00;157119000,00;179842000,00;49550000,00;50280000,00;36762000,00;87042000,00;75694000,00;0,41;0,87;1,00;0,28;0,28;0,20;0,48;0,42;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
827;йнноепюрнп +, ннн;20,00;14,00;0,00;5,00;0,00;2722000,00;3650000,00;14000,00;631000,00;1505000,00;2136000,00;20233000,00;4,69;0,75;1,00;0,00;0,17;0,41;0,59;5,54;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
828;йношрнбю б.б., йпеярэъмяйне унгъиярбн;20,00;28,00;0,00;2,00;0,00;782000,00;1281000,00;558000,00;623000,00;10000,00;633000,00;890000,00;0,52;0,61;1,00;0,44;0,49;0,01;0,49;0,69;0,00;0,00;1,00;0,00;0,00;1,00;0,00;0,00;0,00
829;йнп рчлемэ, ннн;20,00;2,50;0,00;5,00;0,00;10086000,00;10086000,00;5933000,00;977000,00;3166000,00;4143000,00;4041000,00;0,49;1,00;1,00;0,59;0,10;0,31;0,41;0,40;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
830;йнпюкк, ннн;20,00;9,50;0,00;5,00;0,00;5194000,00;12717000,00;240000,00;9661000,00;2546000,00;12207000,00;73800000,00;6,43;0,41;1,00;0,02;0,76;0,20;0,96;5,80;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
831;йнпфюбшу х йн, й.т.у.;20,00;29,00;0,00;2,00;0,00;5226000,00;8220000,00;4376000,00;1248000,00;2500000,00;3748000,00;13351000,00;1,84;0,64;1,00;0,53;0,15;0,30;0,46;1,62;0,00;0,00;1,00;0,00;0,00;1,00;0,00;0,00;0,00
832;йнпмеб, ннн;20,00;5,50;0,00;5,00;0,00;350000,00;350000,00;-1659000,00;1483000,00;516000,00;1999000,00;8329000,00;24,94;1,00;1,00;-4,74;4,24;1,47;5,71;23,80;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
833;йнпнвюмяйне, ннн;20,00;18,00;0,00;5,00;0,00;30895000,00;54458000,00;38816000,00;3240000,00;12372000,00;15612000,00;100285000,00;1,77;0,57;1,00;0,71;0,06;0,23;0,29;1,84;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
834;йнпонпюжхъ пеяспяйнмрюйр окчя, ннн;20,00;6,00;0,00;5,00;0,00;597000,00;1087000,00;51000,00;496000,00;510000,00;1006000,00;5347000,00;6,37;0,55;1,00;0,05;0,46;0,47;0,93;4,92;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
835;йнпрейя, ннн;20,00;5,00;0,00;5,00;0,00;12301000,00;12301000,00;18000,00;680000,00;11603000,00;12283000,00;9642000,00;1,08;1,00;1,00;0,00;0,06;0,94;1,00;0,78;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
836;йнялня, ннн;20,00;14,50;0,00;5,00;0,00;6449000,00;11029000,00;-24000,00;3700000,00;1014000,00;4714000,00;36973000,00;3,25;0,58;1,00;0,00;0,34;0,09;0,43;3,35;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
837;йнярхм х й, ннн;20,00;27,50;0,00;5,00;0,00;15366000,00;23233000,00;14044000,00;590000,00;8461000,00;9051000,00;19354000,00;0,76;0,66;1,00;0,60;0,03;0,36;0,39;0,83;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
838;йнярхм х йн, ннн;20,00;11,50;0,00;5,00;0,00;3060000,00;5999000,00;-645000,00;3640000,00;2984000,00;6624000,00;4495000,00;0,46;0,51;1,00;-0,11;0,61;0,50;1,10;0,75;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
839;йнярхмяйюъ, ннн;20,00;5,00;0,00;5,00;0,00;9696000,00;9696000,00;6463000,00;1789000,00;1434000,00;3223000,00;124782000,00;14,70;1,00;1,00;0,67;0,18;0,15;0,33;12,87;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
840;йнркнярпнхрекэ, ннн ойт;20,00;24,00;0,00;5,00;0,00;114000,00;5785000,00;-4226000,00;7977000,00;2024000,00;10001000,00;2078000,00;0,35;0,02;1,00;-0,73;1,38;0,35;1,73;0,36;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
